,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
1,12001,0,1,1,2,1,-1,2,-1,-1,-1,-1,0,0,0,0,1,1,0,0,1,1,1,1,0
2,12002,1,2,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
3,12003,0,2,3,1,1,1,-1,-1,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,1,1
4,12004,0,1,2,1,1,1,-2,-2,-1,3,2,0,0,0,1,1,1,0,0,1,0,0,0,0
5,12005,0,2,1,1,0,0,0,0,0,0,-2,0,1,1,0,0,0,1,1,0,0,0,0,0
6,12006,0,1,2,1,1,1,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
7,12007,1,2,1,1,1,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8,12008,0,1,2,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
9,12009,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,12010,1,2,1,1,0,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
11,12011,0,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0
12,12012,1,2,2,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12013,0,1,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0
14,12014,0,1,2,1,1,-1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
15,12015,0,1,1,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
16,12016,0,2,2,1,1,1,2,2,2,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1
17,12017,0,2,2,2,0,0,0,0,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0
18,12018,0,2,2,1,1,2,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1
19,12019,1,1,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
20,12020,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
21,12021,0,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
22,12022,0,1,3,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
23,12023,0,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,12024,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,12025,0,2,2,2,0,2,0,0,0,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
26,12026,1,2,3,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0
27,12027,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28,12028,1,2,2,1,1,-1,-1,-1,2,0,-1,0,0,1,1,1,1,1,1,0,1,1,1,0
29,12029,0,1,1,2,0,1,2,2,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0
30,12030,0,1,2,2,1,1,2,2,0,0,2,1,1,1,1,1,1,0,0,0,1,0,1,1
31,12031,0,1,2,2,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
32,12032,1,1,1,1,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
33,12033,1,1,2,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,0,0
34,12034,1,2,4,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0
35,12035,0,1,2,2,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
36,12036,0,1,3,2,1,4,3,2,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
37,12037,1,2,1,2,1,-2,-2,-2,-2,-2,-2,0,0,0,0,1,0,0,0,1,1,1,0,0
38,12038,0,2,6,2,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,12039,1,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
40,12040,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,12041,1,2,1,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
42,12042,0,2,1,2,1,1,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0
43,12043,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,12044,0,2,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,12045,1,2,1,1,1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,1,1,1,1,1,0
46,12046,0,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
47,12047,0,1,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
48,12048,0,1,3,2,1,0,0,2,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0
49,12049,0,1,2,1,0,1,2,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0
50,12050,0,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0
51,12051,0,2,3,0,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,1,1,1,1,0,0
52,12052,0,2,2,1,0,1,2,2,2,2,2,0,0,0,1,1,1,0,0,1,0,1,0,0
53,12053,0,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0
54,12054,0,1,3,1,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1
55,12055,0,2,2,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1
56,12056,1,2,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,0,1,1,1,0
57,12057,0,2,2,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
58,12058,1,2,1,2,0,-1,-1,-1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
59,12059,0,1,1,2,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
60,12060,1,2,5,2,0,0,0,0,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0
61,12061,1,2,2,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0
62,12062,1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0
63,12063,1,1,2,2,0,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
64,12064,0,1,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
65,12065,1,2,1,1,1,1,2,2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,1,1,0
66,12066,1,1,1,1,1,1,-1,2,0,-1,-1,0,0,0,0,0,0,1,0,1,1,1,1,0
67,12067,0,2,3,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1
68,12068,0,1,3,1,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
69,12069,1,1,1,2,1,1,2,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1
70,12070,0,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
71,12071,0,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
72,12072,0,2,2,1,0,0,0,0,0,-1,2,0,1,1,0,0,0,0,0,0,1,0,0,0
73,12073,0,1,1,1,1,2,0,0,0,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
74,12074,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
75,12075,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,12076,0,2,2,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,12077,1,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
78,12078,1,2,2,1,0,-1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,1,0
79,12079,0,2,3,0,1,1,2,2,2,2,2,0,0,1,1,1,1,0,1,0,1,1,0,0
80,12080,1,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
81,12081,0,2,2,1,1,-1,-1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
82,12082,1,1,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
83,12083,1,2,3,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
84,12084,0,2,2,2,1,3,2,2,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1
85,12085,0,1,1,2,0,0,0,0,0,0,2,0,1,1,1,1,1,0,0,1,1,0,0,1
86,12086,1,1,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
87,12087,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0
88,12088,1,2,2,2,0,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
89,12089,1,1,3,1,1,0,0,0,0,-1,0,1,1,0,0,1,1,1,0,0,1,1,1,0
90,12090,1,1,1,2,0,0,0,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,0,0
91,12091,0,1,2,2,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0
92,12092,1,1,1,2,0,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,1,1,0,1,1,0
93,12093,1,1,1,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,1,1,0,0,0
94,12094,0,2,3,1,1,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,1,0
95,12095,0,1,3,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96,12096,0,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
97,12097,0,1,3,3,1,2,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
98,12098,1,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
99,12099,0,2,1,2,0,-1,2,-1,-1,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0
100,12100,1,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
101,12101,0,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,0
102,12102,1,1,1,2,0,1,-2,-2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,12103,0,1,2,2,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0
104,12104,0,1,2,1,0,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,1,1,1,1,1,0
105,12105,0,2,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,12106,1,2,1,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0
107,12107,0,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0
108,12108,1,1,2,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,1,1,1
109,12109,1,2,1,2,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,0,1,0,0
110,12110,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,1,1,1,1,1,1,0
111,12111,1,2,1,2,0,0,0,0,0,-1,-1,1,1,1,0,0,0,1,1,0,1,0,1,0
112,12112,1,2,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0
113,12113,1,2,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
114,12114,1,1,1,2,1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,1,1,1,0,0,1,1,0
115,12115,1,2,2,2,1,1,-1,0,0,-1,0,0,1,0,0,0,1,1,0,0,1,1,0,0
116,12116,1,2,1,2,0,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
117,12117,0,1,3,1,1,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
118,12118,0,2,2,1,1,0,0,2,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0
119,12119,1,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0
120,12120,0,2,1,2,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
121,12121,1,1,3,1,0,2,2,2,2,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0
122,12122,0,1,2,2,0,6,5,4,3,2,0,1,1,1,1,1,1,0,0,0,0,0,0,1
123,12123,1,2,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
124,12124,0,2,2,2,1,2,2,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1
125,12125,1,1,1,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
126,12126,0,2,1,2,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
127,12127,0,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0
128,12128,1,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0
129,12129,0,1,2,3,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1
130,12130,0,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
131,12131,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
132,12132,0,2,2,2,0,2,0,0,0,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1
133,12133,1,2,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
134,12134,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
135,12135,0,2,1,2,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,1,1,0,1,0
136,12136,1,2,2,2,0,1,-2,-2,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,0
137,12137,1,2,2,2,0,0,0,0,0,-1,-1,1,1,1,0,0,0,1,1,1,1,1,0,0
138,12138,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,12139,0,2,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1
140,12140,0,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
141,12141,1,1,3,1,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1,0
142,12142,1,1,2,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,12143,0,2,2,2,0,4,3,2,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1
144,12144,0,2,3,3,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,1,0,0,1,1,0
145,12145,1,1,2,1,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,12146,1,2,2,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,12147,1,1,2,1,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,1,0,1,0,1,0
148,12148,0,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
149,12149,1,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
150,12150,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,0,0,1,0,1,0,0
151,12151,1,2,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
152,12152,0,1,2,1,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,0,0,0,0,0,1
153,12153,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,12154,0,2,2,2,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
155,12155,0,2,1,1,1,4,4,3,2,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0
156,12156,0,1,1,2,0,-1,3,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1
157,12157,0,1,3,2,1,0,0,0,0,2,2,1,1,1,1,1,1,0,0,1,0,0,0,0
158,12158,0,1,1,2,0,1,2,2,2,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0
159,12159,0,1,2,1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0
160,12160,0,1,2,1,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
161,12161,0,2,2,1,0,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,12162,1,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
163,12163,0,1,2,1,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,1
164,12164,0,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,0,1,0,1,0,1,0
165,12165,0,2,3,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
166,12166,0,2,3,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0
167,12167,0,2,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
168,12168,1,2,2,2,0,0,0,0,0,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0
169,12169,1,2,2,1,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,1,0,0,0,0,0
170,12170,0,2,3,1,1,1,-1,-1,-2,-2,-1,0,0,0,0,0,0,1,0,0,0,0,1,1
171,12171,0,2,2,1,0,0,0,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
172,12172,1,1,2,2,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,0,1,1,1,1,1
173,12173,0,1,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
174,12174,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0
175,12175,0,1,1,2,0,-1,-1,-1,-2,-2,-2,0,0,0,0,0,0,1,0,0,0,0,0,1
176,12176,1,2,1,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
177,12177,0,1,3,1,1,2,2,2,2,2,2,1,1,1,1,1,1,0,0,1,0,1,0,1
178,12178,0,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
179,12179,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
180,12180,1,1,1,2,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,1,1,0,0,1,1,0
181,12181,0,2,2,2,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0
182,12182,1,2,1,1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,1,1,1,1,1,1,0
183,12183,0,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
184,12184,1,1,2,1,0,-2,-2,-2,-2,-2,-1,0,0,0,0,0,0,1,1,1,1,1,1,0
185,12185,0,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
186,12186,1,2,1,2,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,1,1,0
187,12187,0,1,2,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0
188,12188,0,2,2,2,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
189,12189,0,1,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
190,12190,1,2,1,2,0,-1,-1,0,0,-2,-1,0,0,0,0,0,0,1,1,0,0,1,0,0
191,12191,1,1,1,2,1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,1,1,1,0,0,0
192,12192,0,2,3,1,1,2,2,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
193,12193,0,2,2,1,1,1,2,0,0,0,2,1,1,1,1,1,1,0,1,1,1,0,1,0
194,12194,1,2,1,1,1,1,-2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,12195,0,1,1,2,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,1,1,0,1,0,1,1
196,12196,1,1,2,2,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
197,12197,0,1,2,2,1,4,3,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,1
198,12198,1,2,2,1,1,1,2,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
199,12199,1,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
200,12200,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
201,12201,1,2,2,1,1,0,0,-2,-2,-2,-2,1,0,0,0,0,0,0,0,0,0,1,0,0
202,12202,0,1,2,1,0,0,0,2,2,2,2,0,1,1,1,1,1,1,0,0,1,1,0,1
203,12203,0,1,1,2,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
204,12204,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0
205,12205,1,1,1,1,1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,1,1,1,0,1,1,0
